response,predictor,well,n,slope,p_value,r_squared
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d,SLOC,18,6.09033265375112,0.0041471660681208986,0.4109153489840088
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d,SLOW,9,1.3575972330991863,0.641113564506371,0.03277550150254123
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d,VDOS,10,2.008689984764188,0.3955231813840622,0.09152742447692791
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d,VDOW,15,1.3523600577143906,0.27966494862619945,0.08916540069097716
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d,SLOC,18,-78.12406096539958,0.32175402751166704,0.06133679384981995
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d,SLOW,9,243.04011274891784,0.09930292028308656,0.34008816466718167
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d,VDOS,10,60.78118666255503,0.049966877913216336,0.3993819513469346
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d,VDOW,15,1.8335577405362444,0.8201253406704385,0.004124390127522313
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d,SLOC,18,-0.012234304027597414,0.4510825666416668,0.03595572202841208
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d,SLOW,9,-0.023126289910254436,0.42944119829230254,0.09127589541501162
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d,VDOS,10,0.054318037535785346,0.2089750718187301,0.18922487230759935
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d,VDOW,15,-0.0017503419716089802,0.8884194560945842,0.00157232686625418
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d,SLOC,18,0.06103121955443235,0.1957467011503613,0.10228408460972871
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d,SLOW,9,0.13851598782802332,0.1304528492355444,0.2953579699197705
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d,VDOS,10,-0.07374406148647356,0.6357119348585829,0.02940755890828364
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d,VDOW,15,-0.056187880086787954,0.34734797816718055,0.06814397622498722
accrual_total_areal_gO2_m2,DTW_mean_2d,SLOC,18,-1.504286539295872,0.553207692999474,0.02241579813319949
accrual_total_areal_gO2_m2,DTW_mean_2d,SLOW,9,2.74154420881256,0.33734042014001736,0.1315793558868274
accrual_total_areal_gO2_m2,DTW_mean_2d,VDOS,10,0.452597146192368,0.7793714744023329,0.010385769436651633
accrual_total_areal_gO2_m2,DTW_mean_2d,VDOW,15,0.4181003201558994,0.730628116418932,0.009430256844793606
accrual_total_areal_gO2_m2,DTW_sd_2d,SLOC,18,54.544609011706804,0.5167979002102833,0.026734856033796377
accrual_total_areal_gO2_m2,DTW_sd_2d,SLOW,9,119.52430543342113,0.45801036226537817,0.0809725565638885
accrual_total_areal_gO2_m2,DTW_sd_2d,VDOS,10,30.828685994694077,0.16110154722239747,0.22964117206505433
accrual_total_areal_gO2_m2,DTW_sd_2d,VDOW,15,9.913791789795978,0.18065831087861692,0.13341386636592445
accrual_total_areal_gO2_m2,fDOM_mean_2d,SLOC,18,0.004320089540269698,0.8029050856454013,0.004008830617641882
accrual_total_areal_gO2_m2,fDOM_mean_2d,SLOW,9,-0.0403126243862371,0.14895476201377453,0.2730336070879322
accrual_total_areal_gO2_m2,fDOM_mean_2d,VDOS,10,-0.0015401450127461864,0.9596770894437797,3.4001881392073526e-4
accrual_total_areal_gO2_m2,fDOM_mean_2d,VDOW,15,-0.00362502488835567,0.7595189765463659,0.00746225065925259
accrual_total_areal_gO2_m2,temp_mean_2d,SLOC,18,-0.03193100064559623,0.5306132474483911,0.025035239849443593
accrual_total_areal_gO2_m2,temp_mean_2d,SLOW,9,0.09665277696303676,0.3182622248928449,0.14156873515695723
accrual_total_areal_gO2_m2,temp_mean_2d,VDOS,10,-0.0570736754140769,0.5826469626860524,0.039370070562327664
accrual_total_areal_gO2_m2,temp_mean_2d,VDOW,15,-0.12694680977385098,0.013602295126740695,0.38488996342045934
ER_rate_mag,DTW_mean_2d,SLOC,8,10.652093576971573,0.026330816898286338,0.5884042311030585
ER_rate_mag,DTW_mean_2d,VDOS,6,-2.7461322130303074,0.7943969527398587,0.019028450429686455
ER_rate_mag,DTW_mean_2d,VDOW,14,-0.5557449195991911,0.604971647934401,0.022974442238278298
ER_rate_mag,DTW_sd_2d,SLOC,8,-224.81753041081421,0.05787133331465419,0.477077702614116
ER_rate_mag,DTW_sd_2d,VDOS,6,103.72223259423562,0.03715372146636877,0.7025688616853147
ER_rate_mag,DTW_sd_2d,VDOW,14,-5.486853689984771,0.4150497989395535,0.05606497503222632
ER_rate_mag,fDOM_mean_2d,SLOC,8,0.016839088197488472,0.3804519238460178,0.12990470663492046
ER_rate_mag,fDOM_mean_2d,VDOS,6,0.015142099044959658,0.7663808760092748,0.024660606237795295
ER_rate_mag,fDOM_mean_2d,VDOW,14,-0.001879730837780743,0.8582656080646529,0.002766719416216602
ER_rate_mag,temp_mean_2d,SLOC,8,0.0010262561102124506,0.9865010705515845,5.183536091173625e-5
ER_rate_mag,temp_mean_2d,VDOS,6,-0.31066243712793973,0.4377366041601749,0.15638618401474683
ER_rate_mag,temp_mean_2d,VDOW,14,-0.008018744617562842,0.8762129745113378,0.002105764333016196
